,tconst,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
28774,tt0029284,My Favorite Wife,My Favorite Wife,0,1940,1940,88,"Comedy,Romance",7.3,10977.0
30805,tt0031359,Gaslight,Gaslight,0,1940,1940,84,"Mystery,Thriller",7.3,4856.0
31411,tt0031976,The Stars Look Down,The Stars Look Down,0,1940,1940,110,Drama,7.0,1108.0
31606,tt0032179,21 Days Together,21 Days,0,1940,1940,72,"Crime,Drama,Romance",6.0,1167.0
31608,tt0032181,Abe Lincoln in Illinois,Abe Lincoln in Illinois,0,1940,1940,110,"Biography,Drama,History",7.3,1923.0
31613,tt0032186,You're Missing the Point,Ahí está el detalle,0,1940,1940,112,Comedy,8.0,1396.0
31621,tt0032194,"All This, and Heaven Too","All This, and Heaven Too",0,1940,1940,141,"Drama,Romance",7.4,5077.0
31636,tt0032209,Angels Over Broadway,Angels Over Broadway,0,1940,1940,79,"Adventure,Comedy,Crime",6.5,1252.0
31642,tt0032215,The Ape,The Ape,0,1940,1940,62,Horror,4.6,1924.0
31648,tt0032221,Arizona,Arizona,0,1940,1940,125,Western,6.7,1381.0
31661,tt0032234,The Bank Dick,The Bank Dick,0,1940,1940,72,Comedy,7.1,7573.0
31670,tt0032245,Before I Hang,Before I Hang,0,1940,1940,62,"Crime,Horror,Sci-Fi",6.1,1306.0
31672,tt0032247,Beyond Tomorrow,Beyond Tomorrow,0,1940,1940,84,"Drama,Fantasy,Romance",6.5,2090.0
31683,tt0032258,Black Friday,Black Friday,0,1940,1940,70,"Crime,Drama,Film-Noir",6.3,2680.0
31689,tt0032264,The Blue Bird,The Blue Bird,0,1940,1940,88,"Adventure,Family,Fantasy",6.2,1862.0
31698,tt0032273,Boom Town,Boom Town,0,1940,1940,119,"Drama,Music,Romance",7.1,3580.0
31706,tt0032281,Brigham Young,Brigham Young,0,1940,1940,114,"Adventure,Biography,History",6.3,1095.0
31709,tt0032284,Broadway Melody of 1940,Broadway Melody of 1940,0,1940,1940,102,Musical,7.3,2572.0
31710,tt0032285,Brother Orchid,Brother Orchid,0,1940,1940,88,"Comedy,Crime,Drama",7.0,2904.0
31748,tt0032324,Charlie Chan at the Wax Museum,Charlie Chan at the Wax Museum,0,1940,1940,63,Mystery,7.0,1674.0
31749,tt0032325,Charlie Chan in Panama,Charlie Chan in Panama,0,1940,1940,67,"Adventure,Mystery",7.1,1437.0
31750,tt0032326,Charlie Chan's Murder Cruise,Charlie Chan's Murder Cruise,0,1940,1940,76,Mystery,7.1,1397.0
31762,tt0032338,Christmas in July,Christmas in July,0,1940,1940,67,"Comedy,Drama,Music",7.4,3988.0
31763,tt0032339,A Chump at Oxford,A Chump at Oxford,0,1940,1940,62,"Comedy,Family,Music",7.2,4093.0
31766,tt0032342,City for Conquest,City for Conquest,0,1940,1940,104,"Drama,Music,Sport",7.2,2461.0
31773,tt0032349,Comrade X,Comrade X,0,1940,1940,104,"Comedy,Romance",6.5,1700.0
31780,tt0032356,Blackout,Contraband,0,1940,1940,92,"Crime,Drama,Romance",6.9,1272.0
31800,tt0032376,"Dance, Girl, Dance","Dance, Girl, Dance",0,1940,1940,90,"Comedy,Drama,Music",6.8,2810.0
31807,tt0032383,Dark Command,Dark Command,0,1940,1940,94,Western,6.7,2817.0
31813,tt0032390,The Devil Bat,The Devil Bat,0,1940,1940,68,"Horror,Sci-Fi",5.4,3234.0
31827,tt0032404,Doomed to Die,Doomed to Die,0,1940,1940,68,"Crime,Drama,Mystery",5.5,1248.0
31833,tt0032410,Down Argentine Way,Down Argentine Way,0,1940,1940,89,"Comedy,Drama,Musical",6.4,1267.0
31835,tt0032412,Dr. Cyclops,Dr. Cyclops,0,1940,1940,77,"Adventure,Drama,Horror",6.4,2709.0
31836,tt0032413,Dr. Ehrlich's Magic Bullet,Dr. Ehrlich's Magic Bullet,0,1940,1940,103,"Biography,Drama",7.4,1696.0
31853,tt0032432,"Edison, the Man","Edison, the Man",0,1940,1940,107,"Biography,Drama,Music",7.0,1709.0
31868,tt0032447,Escape,Escape,0,1940,1940,104,"Crime,Drama,Music",7.0,1032.0
31876,tt0032455,Fantasia,Fantasia,0,1940,1940,124,"Animation,Family,Fantasy",7.7,98953.0
31878,tt0032457,The Fatal Hour,The Fatal Hour,0,1940,1940,68,"Crime,Mystery,Thriller",5.4,1195.0
31888,tt0032467,The Fighting 69th,The Fighting 69th,0,1940,1940,90,"Action,Adventure,Biography",6.6,1922.0
31896,tt0032475,Flash Gordon Conquers the Universe,Flash Gordon Conquers the Universe,0,1940,1940,220,"Action,Adventure,Sci-Fi",6.7,1437.0
31905,tt0032484,Foreign Correspondent,Foreign Correspondent,0,1940,1940,120,"Action,Romance,Thriller",7.4,21959.0
31941,tt0032520,The Ghost Breakers,The Ghost Breakers,0,1940,1940,85,"Comedy,Crime,Horror",7.1,3722.0
31957,tt0032536,Go West,Go West,0,1940,1940,80,"Comedy,Musical,Western",6.8,5610.0
31972,tt0032551,The Grapes of Wrath,The Grapes of Wrath,0,1940,1940,129,Drama,8.1,95367.0
31974,tt0032553,The Great Dictator,The Great Dictator,0,1940,1940,125,"Comedy,Drama,War",8.4,227019.0
31975,tt0032554,The Great McGinty,The Great McGinty,0,1940,1940,82,Comedy,7.3,4169.0
